DT_GERACAO;ANO_ELEICAO;NR_TURNO;DS_ELEICAO;SG_UF;NM_UE;DS_CARGO;SQ_CANDIDATO;NR_CANDIDATO;NM_URNA_CANDIDATO;DS_SITUACAO_CANDIDATURA;NR_PARTIDO;SG_PARTIDO;NM_PARTIDO
09/08/2026;2026;1;Eleição Geral Federal 2026;BR;BRASIL;PRESIDENTE;202600000001;13;CANDIDATO FICTÍCIO PRESIDENTE 1;DEFERIDO;13;PARTIDO-MOCK-A;Partido Mock A
09/08/2026;2026;1;Eleição Geral Federal 2026;BR;BRASIL;PRESIDENTE;202600000002;22;CANDIDATO FICTÍCIO PRESIDENTE 2;DEFERIDO;22;PARTIDO-MOCK-B;Partido Mock B
09/08/2026;2026;1;Eleição Geral Federal 2026;BR;BRASIL;PRESIDENTE;202600000003;15;CANDIDATA FICTÍCIA PRESIDENTE 3;DEFERIDO;15;PARTIDO-MOCK-C;Partido Mock C
09/08/2026;2026;1;Eleição Geral Federal 2026;SP;SÃO PAULO;GOVERNADOR;202600000004;13;CANDIDATO FICTÍCIO GOV SP 1;DEFERIDO;13;PARTIDO-MOCK-A;Partido Mock A
09/08/2026;2026;1;Eleição Geral Federal 2026;SP;SÃO PAULO;GOVERNADOR;202600000005;45;CANDIDATO FICTÍCIO GOV SP 2;DEFERIDO;45;PARTIDO-MOCK-D;Partido Mock D
09/08/2026;2026;1;Eleição Geral Federal 2026;SP;SÃO PAULO;GOVERNADOR;202600000006;17;CANDIDATA FICTÍCIA GOV SP 3;DEFERIDO;17;PARTIDO-MOCK-F;Partido Mock F
09/08/2026;2026;1;Eleição Geral Federal 2026;SP;SÃO PAULO;SENADOR;202600000007;13;CANDIDATO FICTÍCIO SEN SP 1;DEFERIDO;13;PARTIDO-MOCK-A;Partido Mock A
09/08/2026;2026;1;Eleição Geral Federal 2026;SP;SÃO PAULO;SENADOR;202600000008;22;CANDIDATA FICTÍCIA SEN SP 2;DEFERIDO;22;PARTIDO-MOCK-B;Partido Mock B
09/08/2026;2026;1;Eleição Geral Federal 2026;SP;SÃO PAULO;SENADOR;202600000009;40;CANDIDATO FICTÍCIO SEN SP 3;DEFERIDO;40;PARTIDO-MOCK-E;Partido Mock E
09/08/2026;2026;1;Eleição Geral Federal 2026;SP;SÃO PAULO;SENADOR;202600000010;15;CANDIDATA FICTÍCIA SEN SP 4;DEFERIDO;15;PARTIDO-MOCK-C;Partido Mock C
09/08/2026;2026;1;Eleição Geral Federal 2026;MG;MINAS GERAIS;GOVERNADOR;202600000011;13;CANDIDATO FICTÍCIO GOV MG 1;DEFERIDO;13;PARTIDO-MOCK-A;Partido Mock A
09/08/2026;2026;1;Eleição Geral Federal 2026;MG;MINAS GERAIS;GOVERNADOR;202600000012;22;CANDIDATA FICTÍCIA GOV MG 2;DEFERIDO;22;PARTIDO-MOCK-B;Partido Mock B
09/08/2026;2026;1;Eleição Geral Federal 2026;MG;MINAS GERAIS;GOVERNADOR;202600000013;40;CANDIDATO FICTÍCIO GOV MG 3;DEFERIDO;40;PARTIDO-MOCK-E;Partido Mock E
09/08/2026;2026;1;Eleição Geral Federal 2026;MG;MINAS GERAIS;SENADOR;202600000014;13;CANDIDATA FICTÍCIA SEN MG 1;DEFERIDO;13;PARTIDO-MOCK-A;Partido Mock A
09/08/2026;2026;1;Eleição Geral Federal 2026;MG;MINAS GERAIS;SENADOR;202600000015;45;CANDIDATO FICTÍCIO SEN MG 2;DEFERIDO;45;PARTIDO-MOCK-D;Partido Mock D
09/08/2026;2026;1;Eleição Geral Federal 2026;MG;MINAS GERAIS;SENADOR;202600000016;17;CANDIDATA FICTÍCIA SEN MG 3;DEFERIDO;17;PARTIDO-MOCK-F;Partido Mock F
09/08/2026;2026;1;Eleição Geral Federal 2026;MG;MINAS GERAIS;SENADOR;202600000017;15;CANDIDATO FICTÍCIO SEN MG 4;DEFERIDO;15;PARTIDO-MOCK-C;Partido Mock C
09/08/2026;2026;1;Eleição Geral Federal 2026;RJ;RIO DE JANEIRO;GOVERNADOR;202600000018;22;CANDIDATO FICTÍCIO GOV RJ 1;DEFERIDO;22;PARTIDO-MOCK-B;Partido Mock B
09/08/2026;2026;1;Eleição Geral Federal 2026;RJ;RIO DE JANEIRO;GOVERNADOR;202600000019;13;CANDIDATA FICTÍCIA GOV RJ 2;DEFERIDO;13;PARTIDO-MOCK-A;Partido Mock A
09/08/2026;2026;1;Eleição Geral Federal 2026;RJ;RIO DE JANEIRO;GOVERNADOR;202600000020;45;CANDIDATO FICTÍCIO GOV RJ 3;DEFERIDO;45;PARTIDO-MOCK-D;Partido Mock D
09/08/2026;2026;1;Eleição Geral Federal 2026;RJ;RIO DE JANEIRO;SENADOR;202600000021;13;CANDIDATO FICTÍCIO SEN RJ 1;DEFERIDO;13;PARTIDO-MOCK-A;Partido Mock A
09/08/2026;2026;1;Eleição Geral Federal 2026;RJ;RIO DE JANEIRO;SENADOR;202600000022;40;CANDIDATA FICTÍCIA SEN RJ 2;DEFERIDO;40;PARTIDO-MOCK-E;Partido Mock E
09/08/2026;2026;1;Eleição Geral Federal 2026;RJ;RIO DE JANEIRO;SENADOR;202600000023;22;CANDIDATO FICTÍCIO SEN RJ 3;DEFERIDO;22;PARTIDO-MOCK-B;Partido Mock B
09/08/2026;2026;1;Eleição Geral Federal 2026;RJ;RIO DE JANEIRO;SENADOR;202600000024;17;CANDIDATA FICTÍCIA SEN RJ 4;DEFERIDO;17;PARTIDO-MOCK-F;Partido Mock F
